Date,PFE,PFE_VOL,OXY,OXY_VOL,JPM,JPM_VOL,MCD,MCD_VOL
2010-01-04,10.187655448913574,54898644,52.23531723022461,3630352,29.33522224426269,35460500,41.753360748291016,5839300
2010-01-05,10.042352676391602,45714931,51.85820388793945,3515432,29.903461456298828,41208300,41.43413162231445,7099000
2010-01-06,10.010062217712402,43640975,52.480499267578125,5578661,30.06775283813477,27729000,40.86881256103516,10551300
2010-01-07,9.972390174865724,41557112,52.09077072143555,4300559,30.663373947143555,44864700,41.1681022644043,7517700
2010-01-08,10.053115844726562,32049716,52.62505340576172,4336465,30.588054656982425,33110100,41.12820053100586,6107300
2010-01-11,10.13384246826172,34199665,52.1473274230957,4079384,30.485366821289062,31878700,41.44742202758789,6081300
2010-01-12,10.101551055908203,43501847,50.38730239868164,7071676,29.77339172363281,47109600,41.673561096191406,7199400
2010-01-13,10.338346481323242,62728072,50.05415725708008,7685520,30.293676376342773,39622000,41.62699508666992,8623000
2010-01-14,10.429835319519045,49820367,50.44388198852539,4717547,30.59490394592285,37938300,41.66691207885742,7095600
2010-01-15,10.489038467407228,80760537,49.60784530639648,8252916,29.903461456298828,69738500,41.42083358764648,9429100
2010-01-19,10.763508796691896,82562244,49.88443374633789,5700052,29.629608154296875,41731500,42.21891021728516,8551500
2010-01-20,10.731215476989746,83522965,49.16155624389648,6289785,29.711759567260746,39934400,41.90633773803711,6996800
2010-01-21,10.35449504852295,81343188,47.77869415283203,7607341,27.753795623779297,137547700,42.032711029052734,11724100
2010-01-22,10.20380687713623,65034962,47.83525466918945,10140686,26.809045791625977,106634900,42.15904998779297,15645900
2010-01-25,10.144607543945312,51933110,48.80957412719727,6724621,26.843280792236328,56572200,41.95953750610352,6382200
2010-01-26,10.10693073272705,45955032,48.1872444152832,9110167,26.316123962402344,52975300,42.43839263916016,9292700
2010-01-27,10.225330352783203,57558308,48.04269790649414,5282229,26.92543601989746,66314300,42.38518905639648,8080800
2010-01-28,10.026205062866213,53690549,48.71526718139648,11850806,27.02812767028809,65047400,41.786617279052734,8560100
2010-01-29,10.042352676391602,59071114,49.24327850341797,11222245,26.658428192138672,53649000,41.52059173583984,7589600
2010-02-01,10.112313270568848,41586308,50.17987060546875,6349280,27.130809783935547,37408200,42.49160003662109,8062700
2010-02-02,10.35449504852295,71262310,50.77703475952149,5384519,27.760644912719727,45968500,42.58470916748047,7271400
2010-02-03,10.115463256835938,120151889,50.36845397949219,3686611,27.582653045654297,37373300,43.36949157714844,13695300
2010-02-04,9.794939994812012,99352043,48.04896545410156,7981430,26.254512786865234,57211800,42.60466003417969,10868400
2010-02-05,9.756912231445312,95279492,48.21868133544922,10682927,26.22028923034668,75224100,42.145755767822266,14007600
2010-02-08,9.691718101501465,58630015,47.96097946166992,6923878,25.80952835083008,58321000,41.84648132324219,6975100
2010-02-09,9.713449478149414,74804488,48.97298812866211,8421798,26.28190422058105,45173500,42.27876281738281,10131500
2010-02-10,9.6373929977417,63195205,49.274696350097656,6153885,26.61050796508789,39331800,42.065956115722656,6161300
2010-02-11,9.708019256591797,57646000,50.57587814331055,6484240,26.71320152282715,33830600,42.42509841918945,7478900
2010-02-12,9.669988632202148,53060257,50.1610221862793,6458667,26.66527557373047,38051100,42.29207611083984,6749800
2010-02-16,9.626527786254885,66699017,51.02846145629883,6079777,27.432029724121094,46425300,42.57140350341797,7090200
2010-02-17,9.599361419677734,61399821,50.87761306762695,4957302,27.411497116088867,34644100,42.73768615722656,5424600
2010-02-18,9.631958961486816,60202899,50.90902328491211,4299202,27.664796829223636,31809500,42.88399887084961,4975800
2010-02-19,9.773208618164062,53393321,51.23590850830078,4047653,27.404653549194336,40290200,43.056915283203125,5622600
2010-02-22,9.75147819519043,61134003,50.29301071166992,5543173,27.96603202819824,43898900,43.07686233520508,4274900
2010-02-23,9.599361419677734,50458353,49.66443634033203,7660365,27.30196189880371,52233100,43.14337921142578,7485700
2010-02-24,9.675421714782717,71379515,50.00387191772461,3818857,27.96603202819824,44645000,43.40274810791016,7579700
2010-02-25,9.6102294921875,56344732,49.67700958251953,5354876,27.822263717651367,46718100,43.18141555786133,8500000
2010-02-26,9.534173965454102,62436536,50.19244766235352,4590520,28.73277473449707,67699100,42.82592391967773,8288400
2010-03-01,9.642824172973633,48087169,50.75817489624024,4347320,28.636938095092773,34606800,42.913124084472656,6320300
2010-03-02,9.561333656311035,68147740,51.04101943969727,4214970,28.493167877197266,33891600,42.973480224609375,6271700
2010-03-03,9.409224510192873,114953456,50.93417739868164,7052784,28.431564331054688,27562500,42.67837142944336,6396100
2010-03-04,9.41465663909912,59990729,51.07246398925781,4530294,28.698558807373047,25450700,42.54422378540039,5958200
2010-03-05,9.49614715576172,68202654,51.50620651245117,4004232,29.30784797668457,34790800,42.70519256591797,8154600
2010-03-08,9.425525665283203,51370695,51.430458068847656,3621375,29.15724372863769,28524900,43.67775344848633,11825600
2010-03-09,9.360331535339355,57489271,51.430458068847656,6393849,29.04085731506348,37107100,43.66432571411133,7126900
2010-03-10,9.31687068939209,59341465,51.73338317871094,4511297,29.38998794555664,40903700,43.55702209472656,6900200
2010-03-11,9.39292812347412,51448270,51.6639518737793,4073017,29.561147689819336,30119600,43.73810577392578,4350400
2010-03-12,9.27884578704834,90062719,51.65133285522461,4116751,29.54062271118164,31367300,43.9527473449707,6601700
2010-03-15,9.376629829406738,46310547,51.1590690612793,3329954,29.485837936401367,29142000,44.22105026245117,5715100
