Date,AAPL,AAPL_VOL
2010-01-04,6.461976051330566,493729600
2010-01-05,6.473146915435791,601904800
2010-01-06,6.370184421539307,552160000
2010-01-07,6.358408451080322,477131200
2010-01-08,6.400680065155029,447610800
2010-01-11,6.344216823577881,462229600
2010-01-12,6.272050857543945,594459600
2010-01-13,6.360521793365479,605892000
2010-01-14,6.323683738708496,432894000
2010-01-15,6.21800422668457,594067600
2010-01-19,6.493076324462891,730007600
2010-01-20,6.39313268661499,612152800
2010-01-21,6.282618999481201,608154400
2010-01-22,5.971011161804199,881767600
2010-01-25,6.131645679473877,1065699600
2010-01-26,6.2183051109313965,1867110000
2010-01-27,6.276884078979492,1722568400
2010-01-28,6.017508506774902,1173502400
2010-01-29,5.799201488494873,1245952400
2010-02-01,5.879822254180908,749876400
2010-02-02,5.913941383361816,698342400
2010-02-03,6.0156965255737305,615328000
2010-02-04,5.798901081085205,757652000
2010-02-05,5.901862144470215,850306800
2010-02-08,5.861403465270996,478270800
2010-02-09,5.923904895782471,632886800
2010-02-10,5.891597270965576,370361600
2010-02-11,5.998789310455322,550345600
2010-02-12,6.050422668457031,655468800
2010-02-16,6.141611099243164,543737600
2010-02-17,6.115944862365723,436396800
2010-02-18,6.127418041229248,422825200
2010-02-19,6.089372158050537,415469600
2010-02-22,6.051629543304443,390563600
2010-02-23,5.950175285339356,575094800
2010-02-24,6.058876991271973,460566400
2010-02-25,6.099338054656982,665126000
2010-02-26,6.17844820022583,507460800
2010-03-01,6.310400485992432,550093600
2010-03-02,6.306171894073486,566546400
2010-03-03,6.320664882659912,372052800
2010-03-04,6.362333297729492,366041200
2010-03-05,6.61113977432251,899620400
2010-03-08,6.61506462097168,429889600
2010-03-09,6.734029769897461,920259200
2010-03-10,6.788984775543213,596218000
2010-03-11,6.808914661407471,405700400
2010-03-12,6.842129230499268,416323600
2010-03-15,6.758790969848633,493502800
2010-03-16,6.777209281921387,446908000
2010-03-17,6.767245769500732,450956800
2010-03-18,6.783247470855713,342109600
2010-03-19,6.710780143737793,559445600
2010-03-22,6.786267280578613,456419600
2010-03-23,6.8952717781066895,602431200
2010-03-24,6.925769329071045,597780400
2010-03-25,6.843637943267822,542284400
2010-03-26,6.97196626663208,640875200
2010-03-29,7.0169548988342285,540744400
2010-03-30,7.121429920196533,527310000
2010-03-31,7.095765113830566,430659600
2010-04-01,7.125051021575928,603145200
2010-04-05,7.201144695281982,684507600
2010-04-06,7.232848167419434,447017200
2010-04-07,7.264854431152344,628502000
2010-04-08,7.2452287673950195,572989200
2010-04-09,7.300787925720215,334182800
2010-04-12,7.315883159637451,333026400
2010-04-13,7.320112228393555,306210800
2010-04-14,7.418546199798584,404076400
2010-04-15,7.516078472137451,376784800
2010-04-16,7.470179080963135,750545600
2010-04-19,7.460212707519531,566924400
2010-04-20,7.385330200195312,738326400
2010-04-21,7.827079772949219,982391200
2010-04-22,8.045994758605957,793424800
2010-04-23,8.177643775939941,796955600
2010-04-26,8.137482643127441,479068800
2010-04-27,7.91222620010376,709343600
2010-04-28,7.898944854736328,758402400
2010-04-29,8.1115140914917,558840800
2010-04-30,7.883547306060791,542463600
2010-05-03,8.04237174987793,454342000
2010-05-04,7.810772895812988,723819600
2010-05-05,7.729549884796143,883103200
2010-05-06,7.435454368591309,1285860800
2010-05-07,7.121730327606201,1676018400
2010-05-10,7.669160842895508,984306400
2010-05-11,7.7455549240112305,848906800
2010-05-12,7.913740634918213,654379600
2010-05-13,7.801114559173584,599712400
2010-05-14,7.664027214050293,759362800
2010-05-17,7.676106929779053,762834800
2010-05-18,7.619944095611572,782678400
2010-05-19,7.498562335968018,1025726800
2010-05-20,7.179101943969727,1282915200
2010-05-21,7.316788673400879,1223891200
2010-05-24,7.450854301452637,754238800
2010-05-25,7.404350757598877,1048006400
2010-05-26,7.370837211608887,850654000
2010-05-27,7.649839401245117,666282400
2010-05-28,7.756424427032471,815614800
2010-06-01,7.875694274902344,876472800
2010-06-02,7.969904899597168,688548000
2010-06-03,7.944838047027588,650106800
2010-06-04,7.728645801544189,758304400
2010-06-07,7.577069282531738,886942000
2010-06-08,7.528453826904297,1000770400
2010-06-09,7.343359470367432,854630000
2010-06-10,7.564082622528076,776356000
2010-06-11,7.654670238494873,545759200
2010-06-14,7.67791748046875,602960400
2010-06-15,7.84127140045166,585074000
2010-06-16,8.069546699523926,783678000
2010-06-17,8.209046363830566,872855200
2010-06-18,8.275472640991211,784621600
2010-06-21,8.15771484375,776490400
2010-06-22,8.268827438354492,717262000
2010-06-23,8.181868553161621,768457200
2010-06-24,8.122387886047363,714277200
2010-06-25,8.052937507629395,549942400
2010-06-28,8.101249694824219,584948000
2010-06-29,7.734987258911133,1133344800
2010-06-30,7.594883441925049,739452000
2010-07-01,7.50278902053833,1022896000
2010-07-02,7.456287860870361,693842800
2010-07-06,7.507319927215576,615235600
2010-07-07,7.810474395751953,654556000
2010-07-08,7.792962551116943,738144400
2010-07-09,7.839160442352295,433322400
2010-07-12,7.768803119659424,562878400
2010-07-13,7.603034973144531,1190924000
2010-07-14,7.631114959716797,812047600
2010-07-15,7.592467308044434,824866000
2010-07-16,7.545665264129639,1039858400
2010-07-19,7.415225505828857,1024478000
2010-07-20,7.605754852294922,1074950800
2010-07-21,7.676708698272705,1185671200
2010-07-22,7.821040153503418,645318800
2010-07-23,7.848820209503174,533388800
2010-07-26,7.828895092010498,420551600
2010-07-27,7.9738264083862305,584771600
2010-07-28,7.879621982574463,519985200
2010-07-29,7.79356575012207,643806800
2010-07-30,7.767597675323486,448210000
